Category: All categories

Week,Python: (Worldwide),R: (Worldwide),Java: (Worldwide),C++: (Worldwide),JavaScript: (Worldwide)
2016-06-19,39,18,97,23,57
2016-06-26,39,18,96,22,57
2016-07-03,36,18,91,20,50
2016-07-10,35,17,88,20,52
2016-07-17,38,18,92,21,53
2016-07-24,36,17,93,20,53
2016-07-31,37,17,92,21,53
2016-08-07,35,17,86,21,53
2016-08-14,32,17,80,19,46
2016-08-21,37,18,90,22,53
2016-08-28,39,17,93,23,50
2016-09-04,37,18,90,25,51
2016-09-11,40,18,90,25,52
2016-09-18,43,18,93,26,55
2016-09-25,44,18,99,28,57
2016-10-02,42,19,94,28,53
2016-10-09,44,19,94,28,52
2016-10-16,45,20,100,29,54
2016-10-23,46,19,96,28,56
2016-10-30,45,19,90,28,53
2016-11-06,46,19,95,28,57
2016-11-13,49,20,98,29,60
2016-11-20,43,20,91,28,56
2016-11-27,47,20,94,29,59
2016-12-04,48,21,95,29,59
2016-12-11,44,19,90,27,56
2016-12-18,41,17,82,24,54
2016-12-25,32,16,71,19,42
2017-01-01,39,16,77,22,49
2017-01-08,45,18,86,25,56
2017-01-15,47,19,91,26,59
2017-01-22,47,19,88,26,55
2017-01-29,46,20,89,27,59
2017-02-05,50,21,92,28,59
2017-02-12,52,21,93,29,63
2017-02-19,53,21,98,30,60
2017-02-26,52,21,96,30,62
2017-03-05,54,22,95,30,62
2017-03-12,53,21,99,30,62
2017-03-19,52,21,98,30,63
2017-03-26,57,21,96,29,62
2017-04-02,55,21,95,29,62
2017-04-09,51,21,89,28,60
2017-04-16,50,21,90,27,58
2017-04-23,53,21,95,28,63
2017-04-30,48,20,86,25,55
2017-05-07,51,20,90,26,61
2017-05-14,48,19,87,25,58
2017-05-21,49,19,87,24,59
2017-05-28,47,19,82,23,56
2017-06-04,49,19,80,23,57
2017-06-11,50,19,82,22,59
2017-06-18,52,19,84,23,60
2017-06-25,49,18,78,21,54
2017-07-02,47,18,78,21,54
2017-07-09,50,18,82,21,58
2017-07-16,50,18,82,22,59
2017-07-23,50,18,83,22,59
2017-07-30,49,18,81,21,59
2017-08-06,48,17,75,21,56
2017-08-13,46,18,72,19,52
2017-08-20,48,17,76,21,52
2017-08-27,49,18,80,22,57
2017-09-03,49,17,78,23,57
2017-09-10,56,19,87,26,58
2017-09-17,56,19,89,26,58
2017-09-24,56,19,85,27,57
2017-10-01,54,19,82,27,55
2017-10-08,57,20,86,28,59
2017-10-15,56,19,83,27,56
2017-10-22,58,20,90,28,57
2017-10-29,58,21,85,28,57
2017-11-05,60,21,89,29,60
2017-11-12,61,22,89,29,61
2017-11-19,55,19,83,27,58
2017-11-26,59,21,84,28,60
2017-12-03,61,21,83,28,59
2017-12-10,56,21,82,26,58
