Week,Python: (Worldwide),R: (Worldwide),Java: (Worldwide),C++: (Worldwide),JavaScript: (Worldwide)
19/06/2016,39,18,97,23,57
26/06/2016,39,18,96,22,57
03/07/2016,36,18,91,20,50
10/07/2016,35,17,88,20,52
17/07/2016,38,18,92,21,53
24/07/2016,36,17,93,20,53
31/07/2016,37,17,92,21,53
07/08/2016,35,17,86,21,53
14/08/2016,32,17,80,19,46
21/08/2016,37,18,90,22,53
28/08/2016,39,17,93,23,50
04/09/2016,37,18,90,25,51
11/09/2016,40,18,90,25,52
18/09/2016,43,18,93,26,55
25/09/2016,44,18,99,28,57
02/10/2016,42,19,94,28,53
09/10/2016,44,19,94,28,52
16/10/2016,45,20,100,29,54
23/10/2016,46,19,96,28,56
30/10/2016,45,19,90,28,53
06/11/2016,46,19,95,28,57
13/11/2016,49,20,98,29,60
20/11/2016,43,20,91,28,56
27/11/2016,47,20,94,29,59
04/12/2016,48,21,95,29,59
11/12/2016,44,19,90,27,56
18/12/2016,41,17,82,24,54
25/12/2016,32,16,71,19,42
01/01/2017,39,16,77,22,49
08/01/2017,45,18,86,25,56
15/01/2017,47,19,91,26,59
22/01/2017,47,19,88,26,55
29/01/2017,46,20,89,27,59
05/02/2017,50,21,92,28,59
12/02/2017,52,21,93,29,63
19/02/2017,53,21,98,30,60
26/02/2017,52,21,96,30,62
05/03/2017,54,22,95,30,62
12/03/2017,53,21,99,30,62
19/03/2017,52,21,98,30,63
26/03/2017,57,21,96,29,62
02/04/2017,55,21,95,29,62
09/04/2017,51,21,89,28,60
16/04/2017,50,21,90,27,58
23/04/2017,53,21,95,28,63
30/04/2017,48,20,86,25,55
07/05/2017,51,20,90,26,61
14/05/2017,48,19,87,25,58
21/05/2017,49,19,87,24,59
28/05/2017,47,19,82,23,56
04/06/2017,49,19,80,23,57
11/06/2017,50,19,82,22,59
18/06/2017,52,19,84,23,60
25/06/2017,49,18,78,21,54
02/07/2017,47,18,78,21,54
09/07/2017,50,18,82,21,58
16/07/2017,50,18,82,22,59
23/07/2017,50,18,83,22,59
30/07/2017,49,18,81,21,59
06/08/2017,48,17,75,21,56
13/08/2017,46,18,72,19,52
20/08/2017,48,17,76,21,52
27/08/2017,49,18,80,22,57
03/09/2017,49,17,78,23,57
10/09/2017,56,19,87,26,58
17/09/2017,56,19,89,26,58
24/09/2017,56,19,85,27,57
01/10/2017,54,19,82,27,55
08/10/2017,57,20,86,28,59
15/10/2017,56,19,83,27,56
22/10/2017,58,20,90,28,57
29/10/2017,58,21,85,28,57
05/11/2017,60,21,89,29,60
12/11/2017,61,22,89,29,61
19/11/2017,55,19,83,27,58
26/11/2017,59,21,84,28,60
03/12/2017,61,21,83,28,59
10/12/2017,56,21,82,26,58
17/12/2017,52,19,73,23,54
24/12/2017,40,15,58,18,42
31/12/2017,46,17,64,18,46
07/01/2018,54,18,76,23,57
14/01/2018,57,18,76,24,59
21/01/2018,58,19,78,24,56
28/01/2018,60,21,85,26,59
04/02/2018,61,21,80,26,57
11/02/2018,60,21,79,25,58
18/02/2018,59,21,80,25,58
25/02/2018,60,20,80,25,57
04/03/2018,62,21,82,26,59
11/03/2018,60,20,82,26,58
18/03/2018,61,21,79,27,60
25/03/2018,59,21,77,24,55
01/04/2018,59,21,78,24,55
08/04/2018,61,22,80,26,58
